"","author","year","file","titles","periodical","volume","number"
"21009","Einsmann",1999,"Einsmann-1999-Nutrient foraging tr.txt","Nutrient foraging traits in 10 co-occurring plant species of contrasting life formsJournal of EcologyJ Ecol","Journal of Ecology","87","4"
"21010","Beard",1969,"Beard-1969-Natural Regions of D.txt","Natural Regions of Deserts of Western AustraliaJournal of EcologyJ Ecol","Journal of Ecology","57","3"
"21011","Huxley",1974,"Huxley-1974-Seasonal-Changes in.txt","Seasonal-Changes in Growth and Development of Some Woody Perennials near Kampala, UgandaJournal of EcologyJ Ecol","Journal of Ecology","62","2"
"21012","Frelich",2003,"Frelich-2003-Fine-scale environme.txt","Fine-scale environmental variation and structure of understorey plant communities in two old-growth pine forestsJournal of EcologyJ Ecol","Journal of Ecology","91","2"
"21013","Ares",1972,"Ares-1972-Equitability, Compet.txt","Equitability, Competition and Seasonal Succession in a Plant CommunityJournal of EcologyJ Ecol","Journal of Ecology","60","2"
"21014","van der Putten",2009,"van der Putten-2009-A multitrophic persp.txt","A multitrophic perspective on functioning and evolution of facilitation in plant communitiesJournal of EcologyJ Ecol","Journal of Ecology","97","6"
"21015","Schauffler",2002,"Schauffler-2002-Persistence of coast.txt","Persistence of coastal spruce refugia during the Holocene in northern New England, USA, detected by stand-scale pollen stratigraphiesJournal of EcologyJ Ecol","Journal of Ecology","90","2"
"21016","Gray",1975,"Gray-1975-Size-Composition and.txt","Size-Composition and Regeneration of Araucaria Stands in New-GuineaJournal of EcologyJ Ecol","Journal of Ecology","63","1"
"21017","Vila",2009,"Vila-Aiub-2009-Evidence for an ecol.txt","Evidence for an ecological cost of enhanced herbicide metabolism in Lolium rigidumJournal of EcologyJ Ecol","Journal of Ecology","97","4"
"21018","Gray",1983,"Gray-1983-Nutrient Use by Ever.txt","Nutrient Use by Evergreen and Deciduous Shrubs in Southern-California .1. Community Nutrient Cycling and Nutrient-Use EfficiencyJournal of EcologyJ Ecol","Journal of Ecology","71","1"
"21019","Castillo",2000,"Castillo-2000-Lower limits of Spar.txt","Lower limits of Spartina densiflora and S-maritima in a Mediterranean salt marsh determined by different ecophysiological tolerancesJournal of EcologyJ Ecol","Journal of Ecology","88","5"
"21020","Meyer",2007,"Meyer-2007-The rhythm of savann.txt","The rhythm of savanna patch dynamicsJournal of EcologyJ Ecol","Journal of Ecology","95","6"
"21021","Macnae",1963,"Macnae-1963-Mangrove Swamps in S.txt","Mangrove Swamps in South-AfricaJournal of EcologyJ Ecol","Journal of Ecology","51","1"
"21022","Boeken",1995,"Boeken-1995-Biotic and Abiotic C.txt","Biotic and Abiotic Control of the Dynamics of Gray Dogwood (Cornus-Racemosa Lam) Shrub ThicketsJournal of EcologyJ Ecol","Journal of Ecology","83","4"
"21023","Boeken",1998,"Boeken-1998-Colonization by annu.txt","Colonization by annual plants of an experimentally altered desert landscape: source-sink relationshipsJournal of EcologyJ Ecol","Journal of Ecology","86","5"
"21024","Talling",1966,"Talling-1966-Photosynthetic Behav.txt","Photosynthetic Behaviour in Stratified and Unstratified Lake Populations of a Planktonic DiatomJournal of EcologyJ Ecol","Journal of Ecology","54","1"
"21025","Kellman",1990,"Kellman-1990-Nutrient Flux and Re.txt","Nutrient Flux and Retention in a Tropical Sand-Dune SuccessionJournal of EcologyJ Ecol","Journal of Ecology","78","3"
"21026","Iason",1993,"Iason-1993-The Response of Heat.txt","The Response of Heather (Calluna-Vulgaris) to Shade and Nutrients - Predictions of the Carbon-Nutrient Balance HypothesisJournal of EcologyJ Ecol","Journal of Ecology","81","1"
"21027","Villalba",1997,"Villalba-1997-Regional patterns of.txt","Regional patterns of tree population age structures in northern Patagonia: Climatic and disturbance influencesJournal of EcologyJ Ecol","Journal of Ecology","85","2"
"21028","Kellogg",2003,"Kellogg-2003-Effects of water lev.txt","Effects of water level, shade and time on germination and growth of freshwater marsh plants along a simulated successional gradientJournal of EcologyJ Ecol","Journal of Ecology","91","2"
"21031","Howardwilliams",1974,"Howardwilliams-1974-Vegetation of a Trop.txt","Vegetation of a Tropical African Lake - Classification and Ordination of Vegetation of Lake Chilwa (Malawi)Journal of EcologyJ Ecol","Journal of Ecology","62","3"
"21032","Newsham",1995,"Newsham-1995-Arbuscular mycorrhiz.txt","Arbuscular mycorrhiza protect an annual grass from root pathogenic fungi in the fieldJournal of EcologyJ Ecol","Journal of Ecology","83","6"
"21033","Cideciyan",1982,"Cideciyan-1982-Effects of Seed Size.txt","Effects of Seed Size on the Germination, Growth and Competitive Ability of Rumex-Crispus and Rumex-ObtusifoliusJournal of EcologyJ Ecol","Journal of Ecology","70","1"
"21034","Kelly",1997,"Kelly-1997-Fitness consequences.txt","Fitness consequences and heritability aspects of emergence date in Phlox drummondiiJournal of EcologyJ Ecol","Journal of Ecology","85","6"
"21035","Peek",2003,"Peek-2003-Microhabitat depende.txt","Microhabitat dependent responses to resource pulses in the aridland perennial, Cryptantha flavaJournal of EcologyJ Ecol","Journal of Ecology","91","3"
"21036","Boggie",1962,"Boggie-1962-An Improved Method f.txt","An Improved Method for the Placement of Radioactive Isotopes in the Study of Root Systems of Plants Growing in Deep PeatJournal of EcologyJ Ecol","Journal of Ecology","50","2"
"21037","Green",1968,"Green-1968-Factors Influencing.txt","Factors Influencing Spatial and Temporal Distribution of Sphagnum Imbricatum Hornsch Ex Russ in British IslesJournal of EcologyJ Ecol","Journal of Ecology","56","1"
"21038","Madgwick",1969,"Madgwick-1969-Use of Hemispherical.txt","Use of Hemispherical Photographs to Assess Light Climate in ForestJournal of EcologyJ Ecol","Journal of Ecology","57","2"
"21039","Bruna",2002,"Bruna-2002-Experimental assessm.txt","Experimental assessment of Heliconia acuminata growth in a fragmented Amazonian landscapeJournal of EcologyJ Ecol","Journal of Ecology","90","4"
"21040","Armentano",1986,"Armentano-1986-Patterns of Change i.txt","Patterns of Change in the Carbon Balance of Organic Soil-Wetlands of the Temperate ZoneJournal of EcologyJ Ecol","Journal of Ecology","74","3"
"21041","Brunet",1998,"Brunet-1998-Migration of vascula.txt","Migration of vascular plants to secondary woodlands in southern SwedenJournal of EcologyJ Ecol","Journal of Ecology","86","3"
"21042","Brasell",1980,"Brasell-1980-Quantity, Temporal D.txt","Quantity, Temporal Distribution and Mineral-Element Content of Litterfall in 2 Forest Types at 2 Sites in Tropical AustraliaJournal of EcologyJ Ecol","Journal of Ecology","68","1"
"21043","Friedman",1974,"Friedman-1974-Allopatric Distribut.txt","Allopatric Distribution of 2 Varieties of Medicago-Laciniata (L) Mill in Negev DesertJournal of EcologyJ Ecol","Journal of Ecology","62","1"
"21044","Friedman",1977,"Friedman-1977-Suppression of Annua.txt","Suppression of Annuals by Artemisia-Herba-Alba in Negev Desert of IsraelJournal of EcologyJ Ecol","Journal of Ecology","65","2"
"21045","Williams",1950,"Williams-1950-The Application of t.txt","The Application of the Logarithmic Series to the Frequency of Occurrence of Plant Species in QuadratsJournal of EcologyJ Ecol","Journal of Ecology","38","1"
"21046","Rydgren",2010,"Rydgren-2010-Infrequent sporophyt.txt","Infrequent sporophyte production maintains a female-biased sex ratio in the unisexual clonal moss Hylocomium splendensJournal of EcologyJ Ecol","Journal of Ecology","98","5"
"21047","Friedman",2001,"Friedman-2001-Multiple scale compo.txt","Multiple scale composition and spatial distribution patterns of the north-eastern Minnesota presettlement forestJournal of EcologyJ Ecol","Journal of Ecology","89","4"
"21048","Midgley",2000,"Midgley-2000-Serotinous species s.txt","Serotinous species show correlation between retention time for leaves and conesJournal of EcologyJ Ecol","Journal of Ecology","88","2"
"21049","Elger",2007,"Elger-2007-Invertebrate herbivo.txt","Invertebrate herbivory during the regeneration phase: experiments with a freshwater angiospermJournal of EcologyJ Ecol","Journal of Ecology","95","1"
"21050","Hegarty",1990,"Hegarty-1990-Leaf Life-Span and L.txt","Leaf Life-Span and Leafing Phenology of Lianes and Associated Trees during a Rain-Forest SuccessionJournal of EcologyJ Ecol","Journal of Ecology","78","2"
"21051","Mihail",1998,"Mihail-1998-Interactions between.txt","Interactions between root-infecting fungi and plant density in an annual legume, Kummerowia stipulaceaJournal of EcologyJ Ecol","Journal of Ecology","86","5"
"21052","Davis",1953,"Davis-1953-The Vegetation of th.txt","The Vegetation of the Deserts near CairoJournal of EcologyJ Ecol","Journal of Ecology","41","1"
"21053","Maestre",2005,"Maestre-2005-Is the change of pla.txt","Is the change of plant-plant interactions with abiotic stress predictable? A meta-analysis of field results in arid environmentsJournal of EcologyJ Ecol","Journal of Ecology","93","4"
"21054","Kullman",1998,"Kullman-1998-The occurrence of th.txt","The occurrence of thermophilous trees in the Scandes Mountains during the early Holocene: evidence for a diverse tree flora from macroscopic remainsJournal of EcologyJ Ecol","Journal of Ecology","86","3"
"21055","Ranwell",1960,"Ranwell-1960-Newborough Warren, A.txt","Newborough Warren, Anglesey .2. Plant Associes and Succession Cycles of the Sand Dune and Dune Slack VegetationJournal of EcologyJ Ecol","Journal of Ecology","48","1"
"21056","Green",2008,"Green-2008-Translocation of nit.txt","Translocation of nitrogen and carbon integrates biotic crust and grass production in desert grasslandJournal of EcologyJ Ecol","Journal of Ecology","96","5"
"21057","Ranwell",1964,"Ranwell-1964-Spartina Salt Marshe.txt","Spartina Salt Marshes in Southern England .5. Tidal Submergence and Chlorinity in Poole HarborJournal of EcologyJ Ecol","Journal of Ecology","52","3"
"21058","Ranwell",1964,"Ranwell-1964-Spartina Salt Marshe.txt","Spartina Salt Marshes in Southern England .3. Rates of Establishment, Succession and Nutrient Supply at Bridgwater Bay, SomersetJournal of EcologyJ Ecol","Journal of Ecology","52","1"
"21059","Pemadasa",1974,"Pemadasa-1974-Quantitative Descrip.txt","Quantitative Description of Distribution of Annuals in Dune System at Aberffraw, AngleseyJournal of EcologyJ Ecol","Journal of Ecology","62","2"
"21060","Pillon",2010,"Pillon-2010-Ultramafic soils and.txt","Ultramafic soils and species sorting in the flora of New CaledoniaJournal of EcologyJ Ecol","Journal of Ecology","98","5"
"21061","Milberg",1998,"Milberg-1998-Seedling growth resp.txt","Seedling growth response to added nutrients depends on seed size in three woody generaJournal of EcologyJ Ecol","Journal of Ecology","86","4"
"21062","Rao",1955,"Rao-1955-On the Distribution.txt","On the Distribution of Algae in a Group of 6 Small Ponds .2. Algal PeriodicityJournal of EcologyJ Ecol","Journal of Ecology","43","1"
"21063","Pemadasa",1981,"Pemadasa-1981-The Mineral-Nutritio.txt","The Mineral-Nutrition of the Vegetation of a Montane Grassland in Sri-LankaJournal of EcologyJ Ecol","Journal of Ecology","69","1"
"21064","Goldsmith",1978,"Goldsmith-1978-Interaction (Competi.txt","Interaction (Competition) Studies as a Step Towards the Synthesis of Sea-Cliff VegetationJournal of EcologyJ Ecol","Journal of Ecology","66","3"
"21065","Richards",1967,"Richards-1967-Ashton,Ps - Ecologic.txt","Ashton,Ps - Ecological Studies in Mixed Dipterocarp Forests of Brunei State . Oxford Forestry MemoirsJournal of EcologyJ Ecol","Journal of Ecology","55","1"
"21066","Fahey",2007,"Fahey-2007-Ground-layer disturb.txt","Ground-layer disturbance and initial conditions influence gap partitioning of understorey vegetationJournal of EcologyJ Ecol","Journal of Ecology","95","5"
"21067","Miles",1972,"Miles-1972-Experimental Establi.txt","Experimental Establishment of Seedlings on a Southern English HeathJournal of EcologyJ Ecol","Journal of Ecology","60","1"
"21068","Miles",1973,"Miles-1973-Natural Recolonizati.txt","Natural Recolonization of Experimentally Bared Soil in Callunetum in Northeast ScotlandJournal of EcologyJ Ecol","Journal of Ecology","61","2"
"21069","Greene",1997,"Greene-1997-Secondary dispersal.txt","Secondary dispersal of tree seeds on snowJournal of EcologyJ Ecol","Journal of Ecology","85","3"
"21070","Bever",1996,"Bever-1996-Host-dependent sporu.txt","Host-dependent sporulation and species diversity of arbuscular mycorrhizal fungi in a mown grasslandJournal of EcologyJ Ecol","Journal of Ecology","84","1"
"21071","Bever",1997,"Bever-1997-Incorporating the so.txt","Incorporating the soil community into plant population dynamics: the utility of the feedback approachJournal of EcologyJ Ecol","Journal of Ecology","85","5"
"21072","Miles",1975,"Miles-1975-Performance after 6.txt","Performance after 6 Growing Seasons of New Species Established from Seed in Callunetum in Northeast ScotlandJournal of EcologyJ Ecol","Journal of Ecology","63","3"
"21073","Miles",1976,"Miles-1976-Growth of Narthecium.txt","Growth of Narthecium-Ossifragum in Some Southern English MiresJournal of EcologyJ Ecol","Journal of Ecology","64","3"
"21074","Brys",2009,"Brys-2009-Biological Flora of.txt","Biological Flora of the British Isles: Primula veris L.Journal of EcologyJ Ecol","Journal of Ecology","97","3"
"21075","Lawson",1970,"Lawson-1970-A Catena in Tropical.txt","A Catena in Tropical Moist Semi-Deciduous Forest near Kade, GhanaJournal of EcologyJ Ecol","Journal of Ecology","58","2"
"21076","Fonseca",1994,"Fonseca-1994-Herbivory and the Lo.txt","Herbivory and the Long-Lived Leaves of an Amazonian Ant-TreeJournal of EcologyJ Ecol","Journal of Ecology","82","4"
"21077","Clark",1989,"Clark-1989-Post-Glacial Fire, V.txt","Post-Glacial Fire, Vegetation, and Human History on the Northern Alpine Forelands, South-Western GermanyJournal of EcologyJ Ecol","Journal of Ecology","77","4"
"21079","Bezemer",2006,"Bezemer-2006-Plant species and fu.txt","Plant species and functional group effects on abiotic and microbial soil properties and plant-soil feedback responses in two grasslandsJournal of EcologyJ Ecol","Journal of Ecology","94","5"
"21080","Bedford",1991,"Bedford-1991-Net Oxygen and Carbo.txt","Net Oxygen and Carbon-Dioxide Balances in Solutions Bathing Roots of Wetland PlantsJournal of EcologyJ Ecol","Journal of Ecology","79","4"
"21081","Milla",2009,"Milla-2009-The leafing intensit.txt","The leafing intensity premium hypothesis tested across clades, growth forms and altitudesJournal of EcologyJ Ecol","Journal of Ecology","97","5"
"21082","Heisey",1985,"Heisey-1985-Allelopathic Effects.txt","Allelopathic Effects of Trichostema-Lanceolatum (Labiatae) in the California Annual GrasslandJournal of EcologyJ Ecol","Journal of Ecology","73","3"
"21083","Woods",2000,"Woods-2000-Long-term change and.txt","Long-term change and spatial pattern in a late-successional hemlock-northern hardwood forestJournal of EcologyJ Ecol","Journal of Ecology","88","2"
"21084","Ingram",1967,"Ingram-1967-Problems of Hydrolog.txt","Problems of Hydrology and Plant Distribution in MiresJournal of EcologyJ Ecol","Journal of Ecology","55","3"
"21085","Bharucha",1958,"Bharucha-1958-Studies on the Grass.txt","Studies on the Grasslands of the Western Ghats, IndiaJournal of EcologyJ Ecol","Journal of Ecology","46","3"
"21086","Bhatia",1958,"Bhatia-1958-A Mixed Teak Forest.txt","A Mixed Teak Forest of Central IndiaJournal of EcologyJ Ecol","Journal of Ecology","46","1"
"21087","Woodward",1984,"Woodward-1984-The Growth and Funct.txt","The Growth and Functioning of Leaves - Dale,Je, Milthorpe,FlJournal of EcologyJ Ecol","Journal of Ecology","72","2"
"21088","Woodward",1997,"Woodward-1997-Life at the edge_ a.txt","Life at the edge: a 14-year study of a Verbena officinalis population's interactions with climateJournal of EcologyJ Ecol","Journal of Ecology","85","6"
"21089","Ingvarsson",1998,"Ingvarsson-1998-Spatial and temporal.txt","Spatial and temporal variation in disease levels of a floral smut (Anthracoidea heterospora) on Carex nigraJournal of EcologyJ Ecol","Journal of Ecology","86","1"
"21090","Watkinson",1998,"Watkinson-1998-Valpia ciliata Dumor.txt","Valpia ciliata Dumort. ssp. ambigua (Le Gall) Stace and Auquier (Vulpia ambigua (Le Gall) More, Festuca ambigua Le Gall)Journal of EcologyJ Ecol","Journal of Ecology","86","4"
"21091","Watkinson",2000,"Watkinson-2000-Population dynamics.txt","Population dynamics of Vulpia ciliata: regional, patch and local dynamicsJournal of EcologyJ Ecol","Journal of Ecology","88","6"
"21092","Davis",2002,"Davis-2002-Elevated atmospheric.txt","Elevated atmospheric CO2 affects structure of a model regenerating longleaf pine communityJournal of EcologyJ Ecol","Journal of Ecology","90","1"
"21093","Davis",2004,"Davis-2004-An Allee effect at t.txt","An Allee effect at the front of a plant invasion: Spartina in a Pacific estuaryJournal of EcologyJ Ecol","Journal of Ecology","92","2"
"21094","Silvertown",2001,"Silvertown-2001-Phylogeny and the ni.txt","Phylogeny and the niche structure of meadow plant communitiesJournal of EcologyJ Ecol","Journal of Ecology","89","3"
"21095","Silvertown",2005,"Silvertown-2005-The monophyly of isl.txt","The monophyly of island radiations: an evaluation of niche pre-emption and some alternative explanationsJournal of EcologyJ Ecol","Journal of Ecology","93","4"
"21096","Lazenby",1961,"Lazenby-1961-Studies on Allium-Vi.txt","Studies on Allium-Vineale L .2. Establishment and Growth in Different Intensities of CompetitionJournal of EcologyJ Ecol","Journal of Ecology","49","3"
"21097","Helgason",2002,"Helgason-2002-Selectivity and func.txt","Selectivity and functional diversity in arbuscular mycorrhizas of co-occurring fungi and plants from a temperate deciduous woodlandJournal of EcologyJ Ecol","Journal of Ecology","90","2"
"21098","Davison",1986,"Davison-1986-Ferrous Iron and Pho.txt","Ferrous Iron and Phototrophy as Alternative Sinks for Sulfide in the Anoxic Hypolimnia of 2 Adjacent LakesJournal of EcologyJ Ecol","Journal of Ecology","74","3"
"21100","Nicotra",1999,"Nicotra-1999-Reproductive allocat.txt","Reproductive allocation and the long-term costs of reproduction in Siparuna grandiflora, a dioecious neotropical shrubJournal of EcologyJ Ecol","Journal of Ecology","87","1"
"21101","Olff",1993,"Olff-1993-Species Dynamics and.txt","Species Dynamics and Nutrient Accumulation during Early Primary Succession in Coastal Sand DunesJournal of EcologyJ Ecol","Journal of Ecology","81","4"
"21102","Bonnet",2010,"Bonnet-2010-Challenges of foragi.txt","Challenges of foraging on a high-quality but unpredictable food source: the dynamics of grass production and consumption in savanna grazing lawnsJournal of EcologyJ Ecol","Journal of Ecology","98","4"
"21103","Davy",1975,"Davy-1975-Seasonal-Changes in.txt","Seasonal-Changes in Inorganic Nutrient Concentrations in Deschampsia-Caespitosa (L) Beauv in Relation to Its Tolerance of Contrasting Soils in Chiltern-HillsJournal of EcologyJ Ecol","Journal of Ecology","63","1"
"21104","Davy",1984,"Davy-1984-Response of Hieraciu.txt","Response of Hieracium-Pilosella in Breckland Grass-Heath to Inorganic NutrientsJournal of EcologyJ Ecol","Journal of Ecology","72","1"
"21105","Artz",2006,"Artz-2006-The effects of neigh.txt","The effects of neighbouring tree islands on pollinator density and diversity, and on pollination of a wet prairie species, Asclepias lanceolata (Apocynaceae)Journal of EcologyJ Ecol","Journal of Ecology","94","3"
"21106","Sagar",1960,"Sagar-1960-The Biology of Weeds.txt","The Biology of Weeds - 1st Symposium Meeting Organized by the British-Ecological-Society, Oxford, 2-4 April 1959Journal of EcologyJ Ecol","Journal of Ecology","48","3"
"21107","Sagar",1964,"Sagar-1964-Plantago-Major L, P-.txt","Plantago-Major L, P-Media L and P-Lanceolata LJournal of EcologyJ Ecol","Journal of Ecology","52","1"
"21108","Davy",2006,"Davy-2006-Biological flora of.txt","Biological flora of the British Isles: Cakile maritima Scop.Journal of EcologyJ Ecol","Journal of Ecology","94","3"
"21109","Ellis",2000,"Ellis-2000-Climatic control of.txt","Climatic control of blanket mire development at Kentra Moss, north-west ScotlandJournal of EcologyJ Ecol","Journal of Ecology","88","5"
"21110","Watson",2009,"Watson-2009-Parasitic plants as.txt","Parasitic plants as facilitators: more Dryad than Dracula?Journal of EcologyJ Ecol","Journal of Ecology","97","6"
"21111","Miller",1994,"Miller-1994-Life-History Variati.txt","Life-History Variation and Local Adaptation within 2 Populations of Bouteloua-Rigidiseta (Texas-Grama)Journal of EcologyJ Ecol","Journal of Ecology","82","4"
"21112","Fujita",2003,"Fujita-2003-Long-term canopy dyn.txt","Long-term canopy dynamics analysed by aerial photographs in a temperate old-growth evergreen broad-leaved forestJournal of EcologyJ Ecol","Journal of Ecology","91","4"
"21113","Greigsmith",1962,"Greigsmith-1962-British-Ecological-S.txt","British-Ecological-Society - Spring Symposium, 1961Journal of EcologyJ Ecol","Journal of Ecology","50","2"
"21114","Greigsmith",1962,"Greigsmith-1962-British-Ecological-S.txt","British-Ecological-Society - Tropical Ecology Group 6 April 1961Journal of EcologyJ Ecol","Journal of Ecology","50","2"
"21116","Coombe",1962,"Coombe-1962-An Analysis of the G.txt","An Analysis of the Growth of Musanga-CecropioidesJournal of EcologyJ Ecol","Journal of Ecology","50","1"
"21117","Simmonds",1945,"Simmonds-1945-Polygonum-Lapathifol.txt","Polygonum-Lapathifolium L (P-Tomentosum Schr of Many Continental Authors)Journal of EcologyJ Ecol","Journal of Ecology","33","1"
"21118","Simmonds",1945,"Simmonds-1945-Polygonum-L Em Gaert.txt","Polygonum-L Em GaertnJournal of EcologyJ Ecol","Journal of Ecology","33","1"
"21119","Niesenbaum",1993,"Niesenbaum-1993-Light or Pollen - Se.txt","Light or Pollen - Seasonal Limitations on Female Reproductive Success in the Understory Shrub Lindera-BenzoinJournal of EcologyJ Ecol","Journal of Ecology","81","2"
"21120","Pring",1961,"Pring-1961-Arabis-Stricta Huds.txt","Arabis-Stricta Huds (a-Scabra All)Journal of EcologyJ Ecol","Journal of Ecology","49","2"
"21121","Coomes",2007,"Coomes-2007-Effects of size, com.txt","Effects of size, competition and altitude on tree growthJournal of EcologyJ Ecol","Journal of Ecology","95","5"
"21122","Greigsmith",1965,"Greigsmith-1965-Pattern in Acacia-Ca.txt","Pattern in Acacia-Capparis Semi-Desert Scrub in the SudanJournal of EcologyJ Ecol","Journal of Ecology","53","2"
"21123","Koelewijn",2005,"Koelewijn-2005-Effects of seed size.txt","Effects of seed size, inbreeding and maternal sex on offspring fitness in gynodioecious Plantago coronopusJournal of EcologyJ Ecol","Journal of Ecology","93","2"
"21124","Belanger",1994,"Belanger-1994-Role of Ice Scouring.txt","Role of Ice Scouring and Goose Grubbing in Marsh Plant-DynamicsJournal of EcologyJ Ecol","Journal of Ecology","82","3"
"21125","Worrall",1960,"Worrall-1960-Patchiness in Vegeta.txt","Patchiness in Vegetation in the Northern SudanJournal of EcologyJ Ecol","Journal of Ecology","48","1"
"21126","Worrall",2005,"Worrall-2005-Forest dynamics and.txt","Forest dynamics and agents that initiate and expand canopy gaps in Picea-Abies forests of Crawford Notch, New Hampshire, USAJournal of EcologyJ Ecol","Journal of Ecology","93","1"
"21127","Read",1990,"Read-1990-Some Effects of Accl.txt","Some Effects of Acclimation Temperature on Net Photosynthesis in Some Tropical and Extra-Tropical Australasian Nothofagus SpeciesJournal of EcologyJ Ecol","Journal of Ecology","78","1"
"21128","Worthy",2006,"Worthy-2006-Modelling the quanti.txt","Modelling the quantitative effects of pre- and post-dispersal seed predation in Pinus sylvestris L.Journal of EcologyJ Ecol","Journal of Ecology","94","6"
"21129","Chambers",1984,"Chambers-1984-Paleoecology of Beri.txt","Paleoecology of Beringia - Hopkins,Dm, Matthews,Jv, Schweger,Ce, Young,SbJournal of EcologyJ Ecol","Journal of Ecology","72","1"
"21130","Pringsheim",1949,"Pringsheim-1949-The Growth Requireme.txt","The Growth Requirements of Porphyridium-Cruentum - with Remarks on the Ecology of Brackish Water AlgaeJournal of EcologyJ Ecol","Journal of Ecology","37","1"
"21131","Goodall",1963,"Goodall-1963-Pattern-Analysis and.txt","Pattern-Analysis and Minimal Area - Some Further CommentsJournal of EcologyJ Ecol","Journal of Ecology","51","3"
"21132","Billington",1990,"Billington-1990-Survival and Reprodu.txt","Survival and Reproduction in Adjacent Grass Populations - Effects of Clone, Time and EnvironmentJournal of EcologyJ Ecol","Journal of Ecology","78","1"
"21133","Turner",2008,"Turner-2008-Resource partitionin.txt","Resource partitioning for soil phosphorus: a hypothesisJournal of EcologyJ Ecol","Journal of Ecology","96","4"
"21134","Henderson",1977,"Henderson-1977-Quantity and Chemist.txt","Quantity and Chemistry of Throughfall as Influenced by Forest-Type and SeasonJournal of EcologyJ Ecol","Journal of Ecology","65","2"
"21135","Asplund",2010,"Asplund-2010-Gastropod grazing sh.txt","Gastropod grazing shapes the vertical distribution of epiphytic lichens in forest canopiesJournal of EcologyJ Ecol","Journal of Ecology","98","1"
"21136","Bingham",2010,"Bingham-2010-Specificity and trad.txt","Specificity and trade-offs in the induced plant defence of common milkweed Asclepias syriaca to two lepidopteran herbivoresJournal of EcologyJ Ecol","Journal of Ecology","98","5"
"21137","Vranjic",1997,"Vranjic-1997-Scale insects consis.txt","Scale insects consistently affect roots more than shoots: The impact of infestation size on growth of eucalypt seedlingsJournal of EcologyJ Ecol","Journal of Ecology","85","2"
"21138","Asprey",1966,"Asprey-1966-Harris,Dr - Plants A.txt","Harris,Dr - Plants Animals and Man in Outer Leeward Islands West IndiesJournal of EcologyJ Ecol","Journal of Ecology","54","3"
"21139","Kershaw",1959,"Kershaw-1959-An Investigation of.txt","An Investigation of the Structure of a Grassland Community .2. The Pattern of Dactylis-Glomerata, Lolium-Perenne and Trifolium-Repens .3. Discussion and ConclusionsJournal of EcologyJ Ecol","Journal of Ecology","47","1"
"21140","Hendrick",1996,"Hendrick-1996-Temporal and depth-r.txt","Temporal and depth-related patterns of fine root dynamics in northern hardwood forestsJournal of EcologyJ Ecol","Journal of Ecology","84","2"
"21141","Turrill",1951,"Turrill-1951-Some Problems of Pla.txt","Some Problems of Plant Range and DistributionJournal of EcologyJ Ecol","Journal of Ecology","39","2"
"21142","Kershaw",1962,"Kershaw-1962-Quantitative Ecologi.txt","Quantitative Ecological-Studies from Landmannahellir, Iceland .3. Variation of Performance in Carex-BigelowiiJournal of EcologyJ Ecol","Journal of Ecology","50","2"
"21143","Furness",1982,"Furness-1982-Growth-Rate and Temp.txt","Growth-Rate and Temperature Responses in Bryophytes .2. A Comparative-Study of Species of Contrasted EcologyJournal of EcologyJ Ecol","Journal of Ecology","70","2"
"21144","Hendricks",2006,"Hendricks-2006-Assessing the patter.txt","Assessing the patterns and controls of fine root dynamics: an empirical test and methodological reviewJournal of EcologyJ Ecol","Journal of Ecology","94","1"
"21145","Sims",1978,"Sims-1978-Structure and Functi.txt","Structure and Function of 10 Western North-American Grasslands .2. Intra-Seasonal Dynamics in Primary Producer CompartmentsJournal of EcologyJ Ecol","Journal of Ecology","66","2"
"21146","Sugita",1994,"Sugita-1994-Pollen Representatio.txt","Pollen Representation of Vegetation in Quaternary Sediments - Theory and Method in Patchy VegetationJournal of EcologyJ Ecol","Journal of Ecology","82","4"
"21147","Sims",1978,"Sims-1978-Structure and Functi.txt","Structure and Function of 10 Western North-American Grasslands .4. Compartmental Transfers and Energy-Flow within the EcosystemJournal of EcologyJ Ecol","Journal of Ecology","66","3"
"21148","De Deyn",2009,"De Deyn-2009-Vegetation compositi.txt","Vegetation composition promotes carbon and nitrogen storage in model grassland communities of contrasting soil fertilityJournal of EcologyJ Ecol","Journal of Ecology","97","5"
"21149","Lecren",1955,"Lecren-1955-British-Ecological-S.txt","British-Ecological-Society - Joint Summer Meeting with British-Phycological-Society, Aberystwyth 19-24 July 1954Journal of EcologyJ Ecol","Journal of Ecology","43","2"
"21150","Kery",2000,"Kery-2000-Reduced fecundity an.txt","Reduced fecundity and offspring performance in small populations of the declining grassland plants Primula veris and Gentiana luteaJournal of EcologyJ Ecol","Journal of Ecology","88","1"
"21151","Adams",1955,"Adams-1955-Succisa-Pratensis Mo.txt","Succisa-Pratensis Moench (Scabiosa-Succisa L)Journal of EcologyJ Ecol","Journal of Ecology","43","2"
"21152","Kery",2006,"Kery-2006-How biased are estim.txt","How biased are estimates of extinction probability in revisitation studies?Journal of EcologyJ Ecol","Journal of Ecology","94","5"
"21153","Cleavitt",2002,"Cleavitt-2002-Stress tolerance of.txt","Stress tolerance of rare and common moss species in relation to their occupied environments and asexual dispersal potentialJournal of EcologyJ Ecol","Journal of Ecology","90","5"
"21154","John",1997,"John-1997-A 5-year study of th.txt","A 5-year study of the effects of nutrient availability and herbivory on two boreal forest herbsJournal of EcologyJ Ecol","Journal of Ecology","85","4"
